sdf,time_fs,probe,E_min_MeV,n_macro,weight_sum,E_weighted_mean_MeV,E_max_MeV,ddn_yield_sum,ddn_yield_per_weight,run_id,a0,thickness_um,gate
0021.sdf,5500.00566,D_rear05,0.4,787.0,1252904000000000.0,0.508732431,1.07697842,9701072801.0,7.742870006e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0021.sdf,5500.00566,D_rear10,0.4,2297.0,3656824000000000.0,0.524371714,1.03141765,30953654780.0,8.46462799e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0021.sdf,5500.00566,D_rear15,0.4,5842.0,9300464000000000.0,0.545250642,1.28218307,87926056120.0,9.453942956e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0021.sdf,5500.00566,D_rear20,0.4,11010.0,1.752792e+16,0.586470901,1.47893282,201599344200.0,1.150161252e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0022.sdf,5750.02303,D_rear02,0.4,222.0,353424000000000.0,0.489154776,0.830826678,2426691398.0,6.86623262e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0022.sdf,5750.02303,D_rear05,0.4,490.0,780080000000000.0,0.497565516,0.869305458,5654668822.0,7.248831943e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0022.sdf,5750.02303,D_rear10,0.4,1524.0,2426208000000000.0,0.516817978,0.929138039,19628944700.0,8.090380007e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0022.sdf,5750.02303,D_rear15,0.4,3882.0,6180144000000000.0,0.536717625,1.28997826,56110554440.0,9.079166188e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0022.sdf,5750.02303,D_rear20,0.4,8358.0,1.3305936e+16,0.56851393,1.56892951,140415495000.0,1.055284611e-05,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0023.sdf,6000.04041,D_rear02,0.4,116.0,184672000000000.0,0.471054642,0.699934435,1142291358.0,6.18551463e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
0023.sdf,6000.04041,D_rear05,0.4,368.0,585856000000000.0,0.495689793,0.840912285,4215557566.0,7.195552432e-06,pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,Egt0p4
