run_id,a0,thickness_um,gate,probe,n_windows,n_macro_total,weight_total,ddn_yield_total,last_window_weight_frac,last_window_ddn_frac,E_yield_weighted_mean_MeV,E_weighted_mean_MeV,E_max_MeV
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear15,21,211360,3.3648512e+17,1754712446391.0,0.04638531415594247,0.013321423870946501,0.48831623983225375,0.38467930305633513,4.33359226
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear15,16,320026,5.09481392e+17,7689872378900.0,0.03435345878147401,0.006953474751638052,0.7193674413389184,0.5981451889738989,2.16919938
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear15,19,343552,5.46934784e+17,8295191085060.2,0.02582141859165425,0.004518103738140471,0.7326910709016526,0.5951072678698391,2.22539404
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear15,22,363160,5.7815072e+17,11037026499258.0,0.01964698755369534,0.0022722715934120506,0.9354564707476664,0.6405033807259694,7.68005661
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear15,22,379547,6.04238824e+17,18393787156950.0,0.015592271839851192,0.0010353684979335096,1.9956496393899659,0.7331085462069968,19.8471317
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear15,18,443394,7.05883248e+17,24365188342960.0,0.01624063474020848,0.001922197792225656,1.0774018048941258,0.853849057449968,3.15602886
pic2d_stage1_scan6ps_16x40nm_a0_10_t_1um_20260706_r001,10.0,1.0,allE,D_rear20,21,58238,9.2714896e+16,487594636207.0,0.08994127545588791,0.02107337490406234,1.4590854607421075,0.34195752731113704,6.51045773
pic2d_stage1_scan6ps_16x40nm_a0_10_t_2um_20260706_r001,10.0,2.0,allE,D_rear20,20,139925,2.227606e+17,1546878706669.0,0.08344470251920671,0.030705769330991,0.5379049916496499,0.4411403375196355,4.35204115
pic2d_stage1_scan6ps_16x40nm_a0_05_t_3um_20260706_r001,5.0,3.0,allE,D_rear20,14,227250,3.61782e+17,6826109909061.0,0.06421562156215621,0.017425023151489527,0.7939187875889542,0.6706128870547635,2.25098533
pic2d_stage1_scan6ps_16x40nm_a0_10_t_3um_20260706_r001,10.0,3.0,allE,D_rear20,17,252617,4.02166264e+17,7442016249094.0,0.0502103975583591,0.011264758087595667,0.8029641646134665,0.6588670329231763,2.31125684
pic2d_stage1_scan6ps_16x40nm_a0_15_t_3um_20260706_r001,15.0,3.0,allE,D_rear20,21,275552,4.38678784e+17,10110466225450.0,0.03842106027174544,0.005651755614015388,1.0219969502294668,0.7054304413848093,7.71255859
pic2d_stage1_scan6ps_16x40nm_a0_20_t_3um_20260706_r001,20.0,3.0,allE,D_rear20,22,295434,4.70330928e+17,17311050918960.0,0.030866454098038818,0.0024522554458842956,2.1492634709442697,0.8096056550509387,20.0435806
pic2d_stage1_scan6ps_16x40nm_a0_10_t_4um_20260706_r001,10.0,4.0,allE,D_rear20,17,337871,5.37890632e+17,21948315473100.0,0.03298892180743538,0.005020468743264175,1.1870996453697202,0.9293229976113755,3.41437885
