library,E_MeV,sigma_b
jeff33,14.01115,0.3021492
jeff33,14.5,0.2938782
jeff33,14.583,0.2923583
jeff33,14.58303,0.2923571
jeff33,15.0,0.285022
jeff33,15.155,0.2818184
jeff33,15.5,0.2749411
jeff33,15.727,0.2700987
jeff33,16.0,0.2644699
jeff33,16.299,0.2580166
jeff33,16.5,0.2538153
jeff33,16.871,0.2459084
jeff33,17.0,0.24324
jeff33,17.442,0.2347261
jeff33,17.44245,0.2347122
jeff33,17.5,0.2336388
jeff33,18.0,0.2251399
jeff33,18.014,0.2249143
jeff33,18.01433,0.2249058
jeff33,18.5,0.2172056
jeff33,18.586,0.2158905
jeff33,18.58621,0.2158855
jeff33,19.0,0.20962
jeff33,19.158,0.2072932
jeff33,19.1581,0.207291
jeff33,19.5,0.2022821
jeff33,19.73,0.1989978
jeff33,20.0,0.1951517
