source_id,E_low_MeV,E_high_MeV,placeholder_norm,pstar_norm
pic2d_a0_10_t_1um,5.9,6.0,0.006752221649852207,0.004180920207128807
pic2d_a0_10_t_1um,6.0,6.1000000000000005,0.0035539192065212927,0.0
pic2d_a0_10_t_1um,6.1000000000000005,6.2,0.0,0.0
pic2d_a0_10_t_1um,6.2,6.300000000000001,0.0017609444989170418,0.0014043638367887375
pic2d_a0_10_t_1um,6.300000000000001,6.4,0.0,0.0
pic2d_a0_10_t_1um,6.4,6.5,0.0,0.0
pic2d_a0_10_t_1um,6.5,6.6000000000000005,0.0,0.0
pic2d_a0_10_t_1um,6.6000000000000005,6.7,0.0,0.0
pic2d_a0_10_t_1um,6.7,6.800000000000001,0.0,0.0
pic2d_a0_10_t_1um,6.800000000000001,6.9,0.0,0.0
pic2d_a0_10_t_1um,6.9,7.0,0.0,0.0
pic2d_a0_10_t_1um,7.0,7.1000000000000005,0.0,0.0
pic2d_a0_10_t_1um,7.1000000000000005,7.2,0.0,0.0
pic2d_a0_10_t_1um,7.2,7.300000000000001,0.0,0.0
pic2d_a0_10_t_1um,7.300000000000001,7.4,0.0,0.0037533646192903806
pic2d_a0_10_t_1um,7.4,7.5,0.004983816915580666,0.0
pic2d_a0_10_t_1um,7.5,7.6000000000000005,0.0,0.0
pic2d_a0_10_t_1um,7.6000000000000005,7.7,0.0,0.0
pic2d_a0_10_t_1um,7.7,7.800000000000001,0.0,0.0
pic2d_a0_10_t_1um,7.800000000000001,7.9,0.0,0.0
pic2d_a0_10_t_1um,7.9,8.0,0.0,0.0
pic2d_a0_10_t_1um,8.0,8.1,0.0,0.0
pic2d_a0_10_t_1um,8.1,8.200000000000001,0.0,0.0
pic2d_a0_10_t_1um,8.200000000000001,8.3,0.0,0.0
pic2d_a0_10_t_1um,8.3,8.4,0.0,0.0
pic2d_a0_10_t_1um,8.4,8.5,0.0,0.0
pic2d_a0_10_t_1um,8.5,8.6,0.0,0.0
pic2d_a0_10_t_1um,8.6,8.700000000000001,0.0,0.0
pic2d_a0_10_t_1um,8.700000000000001,8.8,0.0,0.0
pic2d_a0_10_t_1um,8.8,8.9,0.0,0.0
pic2d_a0_10_t_1um,8.9,9.0,0.0,0.0
pic2d_a0_10_t_1um,9.0,9.1,0.0,0.0
pic2d_a0_10_t_1um,9.1,9.200000000000001,0.0,0.0
pic2d_a0_10_t_1um,9.200000000000001,9.3,0.0,0.0
pic2d_a0_10_t_1um,9.3,9.4,0.0,0.0
pic2d_a0_10_t_1um,9.4,9.5,0.0,0.0
pic2d_a0_10_t_1um,9.5,9.600000000000001,0.0,0.0
pic2d_a0_10_t_1um,9.600000000000001,9.700000000000001,0.0,0.0
pic2d_a0_10_t_1um,9.700000000000001,9.8,0.0,0.0
pic2d_a0_10_t_1um,9.8,9.9,0.0,0.0
pic2d_a0_10_t_1um,9.9,10.0,0.0,0.0
pic2d_a0_10_t_1um,10.0,10.100000000000001,0.0,0.0
pic2d_a0_10_t_1um,10.100000000000001,10.200000000000001,0.0,0.0
pic2d_a0_10_t_1um,10.200000000000001,10.3,0.0,0.0
pic2d_a0_10_t_1um,10.3,10.4,0.0,0.0
pic2d_a0_10_t_1um,10.4,10.5,0.0,0.0
pic2d_a0_10_t_1um,10.5,10.600000000000001,0.0,0.0
pic2d_a0_10_t_1um,10.600000000000001,10.700000000000001,0.0,0.0
pic2d_a0_10_t_1um,10.700000000000001,10.8,0.0,0.0
pic2d_a0_10_t_1um,10.8,10.9,0.0,0.0
pic2d_a0_10_t_1um,10.9,11.0,0.0,0.0
pic2d_a0_10_t_1um,11.0,11.100000000000001,0.0,0.0
pic2d_a0_10_t_1um,11.100000000000001,11.200000000000001,0.0,0.0
pic2d_a0_10_t_1um,11.200000000000001,11.3,0.0,0.0
pic2d_a0_10_t_1um,11.3,11.4,0.0,0.0
pic2d_a0_10_t_1um,11.4,11.5,0.0,0.0
pic2d_a0_10_t_1um,11.5,11.600000000000001,0.0,0.0
pic2d_a0_10_t_1um,11.600000000000001,11.700000000000001,0.0,0.0
pic2d_a0_10_t_1um,11.700000000000001,11.8,0.0,0.0
pic2d_a0_10_t_1um,11.8,11.9,0.0,0.0
pic2d_a0_10_t_1um,11.9,12.0,0.0,0.0
pic2d_a0_10_t_2um,0.0,0.1,0.0,0.0
pic2d_a0_10_t_2um,0.1,0.2,0.0,0.0
pic2d_a0_10_t_2um,0.2,0.30000000000000004,0.0,0.0
pic2d_a0_10_t_2um,0.30000000000000004,0.4,0.0,0.0
pic2d_a0_10_t_2um,0.4,0.5,0.0,0.0
pic2d_a0_10_t_2um,0.5,0.6000000000000001,0.0,0.0
pic2d_a0_10_t_2um,0.6000000000000001,0.7000000000000001,0.0,0.0
pic2d_a0_10_t_2um,0.7000000000000001,0.8,0.0,0.0
pic2d_a0_10_t_2um,0.8,0.9,0.0,0.0
pic2d_a0_10_t_2um,0.9,1.0,0.0,0.0
pic2d_a0_10_t_2um,1.0,1.1,0.0,0.0
